,Product Name,Discount Price,Real Price,Discount,Sold
110,Bluetooth headset exclusive microphone HD call game even mic Type C ,Rp40.900,Rp100.000,59%,70+ terjual
111,Monster TWS XKT15 Bluetooth Earphone BT5.3 Headset Earbuds Headphone ,Rp159.000,Rp399.000,60%,6 terjual
112,Lenovo thinkplus GM2 Pro Case Casing Silicon Protective,Rp26.900,Rp99.000,73%,60+ terjual
113,Hyundai H01 Headphone Bluetooth Hifi Wireless Headset Earphone,Rp169.000,Rp399.000,58%,4 terjual
114,Hyundai T12 Pro True Wireless Bluetooth Earphone Earbuds Mini TWS,Rp119.000,Rp399.000,70%,30+ terjual
115,Hyundai T04 True Wireless Bluetooth Earphone Earbuds Mini TWS Stereo,Rp149.000,Rp399.000,63%,5 terjual
116,Hyundai T16 True Wireless Bluetooth Earphone Earbuds Mini TWS,Rp99.000,Rp399.000,75%,25 terjual
117,Hyundai T17 TWS Wireless Bluetooth Earphone Earbuds Low Latency,Rp79.000,Rp399.000,80%,16 terjual
118,Hyundai T15 TWS Wireless Bluetooth Earphone Earbuds Low Latency,Rp109.000,Rp399.000,73%,4 terjual
119,Hyundai S10 Bluetooth Wireless Speaker Portable Mini v5.3,Rp119.000,Rp399.000,70%,1 terjual
120,Lenovo ThinkPlus LP1 TWS True Wireless Earbuds Headset Bluetooth 5.3,Rp86.000,Rp299.000,71%,500+ terjual
121,KiiP Wireless DTS7 True Wireless Bluetooth Headset Headphone Earphone,Rp239.000,Rp499.000,52%,
122,KiiP E59 Power Bank Magnetic Cable 30W Fast Charging Lightning 20000MA,Rp579.000,Rp1.200.000,52%,10 terjual
123,KiiP Wireless EW54 Power Bank Magnetic Magsafe 20W Fast Charging TypeC,Rp399.000,Rp1.309.000,70%,1 terjual
124,KiiP Wireless H01 Phone Stand Holder Dudukan Handphone Pad Desktop,Rp169.000,Rp399.000,58%,10 terjual
125,KiiP Wireless Chopin TH80 Headphone Bluetooth Hifi Wireless Headset,Rp309.000,Rp799.000,61%,1 terjual
126,Monster XKT16 Bluetooth Headset Earbuds Headphone TWS,Rp159.000,Rp499.000,68%,3 terjual
127,Monster XKT21 Earphone Ear Hook Bluetooth Headset Earbud Headphone TWS,Rp259.000,Rp699.000,63%,5 terjual
128,Hyundai T21 Bluetooth Earphone TWS Headset Earbuds Earphone v5.3,Rp62.000,Rp199.000,69%,250+ terjual
129,Baseus Popsicle Fast Charging Power Bank PD 20W IP/TYPEC 5200mAh,Rp289.000,Rp799.000,64%,3 terjual
130,KiiP Wireless TH60 Headphone Bluetooth Wireless Headset Earphone,Rp169.000,Rp759.000,78%,250+ terjual
131,LivChic Keriting Catokan Rambut Curly catok 32mm LC204,Rp280.000,Rp665.000,58%,15 terjual
132,LivChic Catokan Sisir Pelurus Rambut LB401 54 Watts,Rp379.000,Rp528.000,28%,2 terjual
133,LivChic Sikat Pelurus Rambut Ionik 2- in -1 Sisir Gigi Cepat Pemanasan,Rp389.000,Rp670.000,42%,1 terjual
134,Livchic Volume Catok Curved Plate Pelurus Rambut Catokan LS306,Rp239.000,Rp594.000,60%,6 terjual
135,Livchic catokan hair dryer + Sisir Styling 2-in-1 Hot Air Comb Rambut,Rp469.000,Rp838.000,44%,7 terjual
136,Livchic Professional Deep Waver Iron Tourmaline Ceramic 32mm Rambut,Rp389.000,Rp754.000,48%,3 terjual
137,Usams PD30W Single Port Fast Chargnig X-ron Adapter Fast Charger,Rp109.000,Rp300.000,64%,21 terjual
138,USAMS Powerbank 10000mAh Fast Charge PD20W QC3.0 Dual Micro Port typec,Rp219.000,Rp650.000,66%,
139,Thinkplus Lenovo T50 True Wireless Bluetooth Earphone Sport TWS 5.2,Rp119.000,Rp399.000,70%,4rb+ terjual
140,USAMS T58 PD45W Fast Charger kabel charger Dual Port TYPEC+USB GaN,Rp179.000,Rp499.000,64%,17 terjual
141,USAMS PD30W Kepala Charger Fast Charger kabel charger QC3.0 TYPEC+USB,Rp109.000,Rp359.000,70%,50+ terjual
142,KiiP Wireless Y7 Bluetooth Speaker Portable TWS RGB LED HIFI SOUND,Rp199.000,Rp499.000,60%,22 terjual
143,USAMS Car Charger Fast Charge Mini 95W A+C Transparent Aluminum Alloy ,Rp89.000,Rp258.000,66%,90+ terjual
144,Baseus Foldable Wireless Bluetooth 5.3 ENC Wired Headset headphone,Rp389.000,Rp899.000,57%,
145,KiiP Wireless DTS10 Bluetooth Headphone Bone Conduction Earphone,Rp149.000,Rp599.000,75%,750+ terjual
146,Usams C32 Mini Car Fast Charger Mobil Transparent A+C 30W,Rp69.000,Rp259.000,73%,90+ terjual
147,Usams C31 Car Charger Mini Dual USB Transparent Fast Charge 3A,Rp39.000,Rp119.000,67%,70+ terjual
148,Thinkplus Lenovo GM2 Pro True Wireless Bluetooth Earphone TWS Headset,Rp132.000,Rp399.000,67%,2rb+ terjual
149,USAMS Phone Stand ZB255 Adjustable Jepit  Foldable Phone Stand Holder,Rp155.000,Rp550.000,72%,5 terjual
150,USAMS Selfie Stick ZB256 With Tripod Bluetooth Extendable Holder,Rp109.000,Rp450.000,76%,11 terjual
151,LivChic 2IN1 Catok Rambut untuk Meluruskan dan Keriting Ringan Alat,Rp339.000,Rp699.000,52%,50+ terjual
152,LivChic Catokan Rambut 65W-kabel 2 meter 360° Sudut belok jauh 3IN1,Rp289.000,Rp699.000,59%,100+ terjual
153,Monster XKT08 Wireless Bluetooth Earphone Headset Headphone Earbuds TW,Rp139.000,Rp1.099.000,87%,100+ terjual
154,Monster Storm XKH01 Headphone Bluetooth Headset Earphone TWS Earbuds,Rp259.000,Rp799.000,68%,3 terjual
155,Monster XKT02 Wireless Bluetooth Earphone Headset Mini Earbuds TWS,Rp219.000,Rp699.000,69%,4 terjual
156,Thinkplus Lenovo TW60 True Wireless Bluetooth Earphone Headphone TWS,Rp199.000,Rp499.000,60%,22 terjual
157,KiiP Wireless Charging Magsafe Powerbank 3in1 PD Fast Charging 20W ,Rp659.000,Rp1.550.000,57%,13 terjual
158,KiiP C9 Wireless Charger Docking 20w Qi Fast Charging Typec QI Holder,Rp159.000,Rp299.000,47%,10 terjual
159,KiiP WIRELESS EW40 Power Bank 15W Fast Charging PD&QC 3.0 20W 20000mAh,Rp389.000,Rp699.000,44%,2 terjual
